ndc11,rxcui,name,labeler,acqDate,attribution,ingredientsAvailable,rxnavImageObjectId,rxnavImageFileName,rxnavImageSize,nlmImageObjectId,nlmImageFileName,nlmImageSize,shape,size,color,imprint,imprintType,symbol,score,active_ingredients,inactive_ingredients
00591-5440-50,1649988,doxycycline hyclate 100 MG Oral Capsule,"Watson Laboratories, Inc.",12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670913,00591-5440-50_RXNAVIMAGE10_B834DC76.jpg,710105,168893697,00591-5440-50_NLMIMAGE10_B834DC76.jpg,568471,CAPSULE,22,BLUE,DAN;5440;DAN;5440,PRINTED,False,1,['doxycycline hyclate 100 mg'],"['fd&c blue no. 1', 'gelatin', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'magnesium stearate', 'cellulose, microcrystalline']"
00781-2823-13,310384,Fluoxetine 10 MG Oral Capsule,Sandoz Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185671054,00781-2823-13_RXNAVIMAGE10_ED34F687.jpg,581057,168893838,00781-2823-13_NLMIMAGE10_ED34F687.jpg,438753,CAPSULE,16,"WHITE, GREEN",GG;575;GG;575,PRINTED,True,1,['fluoxetine hydrochloride 10 mg'],"['starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'magnesium stearate', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide']"
00781-2822-13,310385,Fluoxetine 20 MG Oral Capsule,Sandoz Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185671067,00781-2822-13_RXNAVIMAGE10_F134F8F7.jpg,587291,168893851,00781-2822-13_NLMIMAGE10_F134F8F7.jpg,448315,CAPSULE,16,"WHITE, GREEN",GG;550,PRINTED,True,1,['fluoxetine hydrochloride 20 mg'],"['ferrosoferric oxide', 'starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide']"
00781-2824-10,313989,Fluoxetine 40 MG Oral Capsule,Sandoz Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670754,00781-2824-10_RXNAVIMAGE10_7D34BED5.jpg,615322,168893538,00781-2824-10_NLMIMAGE10_7D34BED5.jpg,479242,CAPSULE,19,"WHITE, ORANGE",GG540,PRINTED,True,1,['fluoxetine hydrochloride 40 mg'],"['starch, corn', 'd&c yellow no. 10', 'fd&c blue no. 1', 'gelatin', 'magnesium stearate', 'propylene glycol', 'ferric oxide red', 'shellac', 'silicon dioxide', 'sodium lauryl sulfate', 'titanium dioxide', 'ferric oxide yellow']"
00781-2074-01,198316,Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Capsule,Sandoz Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670841,00781-2074-01_RXNAVIMAGE10_9D34CEF6.jpg,602989,168893625,00781-2074-01_NLMIMAGE10_9D34CEF6.jpg,445007,CAPSULE,14,"WHITE, BLACK",GG;606;GG;606,PRINTED,True,1,"['triamterene 37.5 mg', 'hydrochlorothiazide 25 mg']","['anhydrous lactose', 'citric acid monohydrate', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'ferrosoferric oxide', 'gelatin', 'glycine', 'magnesium stearate', 'polysorbate 80', 'povidone', 'propylene glycol', 'shellac', 'sodium starch glycolate type a potato', 'starch, corn', 'titanium dioxide']"
00093-3147-01,309114,Cephalexin 500 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185646439,00093-3147-01_RXNAVIMAGE10_24231258.jpg,663458,168855822,00093-3147-01_NLMIMAGE10_C51962CB.jpg,508952,CAPSULE,21,ORANGE,93;3147;93;3147,PRINTED,False,1,['cephalexin 500 mg'],"['magnesium stearate', 'silicon dioxide', 'sodium starch glycolate type a potato', 'ferrosoferric oxide', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'carboxymethylcellulose sodium', 'sodium lauryl sulfate', 'titanium dioxide', 'propylene glycol']"
00093-4356-01,0,,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643596,00093-4356-01_RXNAVIMAGE10_0E210728.jpg,610292,168866380,00093-4356-01_NLMIMAGE10_0E210728.jpg,491283,CAPSULE,16,BLUE,4356;20;mg,PRINTED,True,1,['fluoxetine hydrochloride 20 mg'],"['ferrosoferric oxide', 'silicon dioxide', 'starch, corn', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'propylene glycol', 'shellac', 'sodium lauryl sulfate', 'titanium dioxide']"
00378-4350-93,313989,Fluoxetine 40 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651163,00378-4350-93_RXNAVIMAGE10_00268034.jpg,610903,168873947,00378-4350-93_NLMIMAGE10_00268034.jpg,458299,CAPSULE,22,"BLUE, WHITE",MYLAN;4350;MYLAN;4350,PRINTED,False,1,['fluoxetine hydrochloride 40 mg'],"['silicon dioxide', 'magnesium stearate', 'starch, corn', 'sodium lauryl sulfate', 'gelatin', 'titanium dioxide', 'fd&c blue no. 1', 'fd&c red no. 3', 'ferrosoferric oxide', 'd&c yellow no. 10', 'fd&c blue no. 2', 'fd&c red no. 40', 'propylene glycol', 'shellac']"
00378-0143-01,197817,Indomethacin 25 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643916,00378-0143-01_RXNAVIMAGE10_8221411A.jpg,648970,168866700,00378-0143-01_NLMIMAGE10_8221411A.jpg,503965,CAPSULE,16,GREEN,MYLAN;143;MYLAN;143,PRINTED,False,1,['indomethacin 25 mg'],"['silicon dioxide', 'gelatin', 'fd&c green no. 3', 'magnesium stearate', 'cellulose, microcrystalline', 'powdered cellulose', 'sodium lauryl sulfate', 'sodium starch glycolate type a potato', 'titanium dioxide', 'd&c yellow no. 10', 'ferrosoferric oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'propylene glycol']"
00378-1010-01,0,,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,False,185643577,00378-1010-01_RXNAVIMAGE10_072103C8.jpg,628075,168866361,00378-1010-01_NLMIMAGE10_072103C8.jpg,497238,CAPSULE,17,GREEN,MYLAN;1010;MYLAN;1010,PRINTED,False,1,[],[]
00228-2779-11,856569,24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule,Actavis Elizabeth LLC,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185643729,00228-2779-11_RXNAVIMAGE10_3F211FE8.jpg,615590,168866513,00228-2779-11_NLMIMAGE10_3F211FE8.jpg,460321,CAPSULE,16,YELLOW,R;2779;R;2779,PRINTED,False,1,['propranolol hydrochloride 80 mg'],"['gelatin', 'hydroxypropyl cellulose', 'povidone', 'talc', 'titanium dioxide', 'ferric oxide yellow', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'propylene glycol', 'ethylcelluloses', 'ferrosoferric oxide', 'sucrose', 'starch, corn']"
00228-2780-11,856460,24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule,Actavis Elizabeth LLC,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651195,00228-2780-11_RXNAVIMAGE10_0B2685A4.jpg,658670,168873979,00228-2780-11_NLMIMAGE10_0B2685A4.jpg,497390,CAPSULE,18,"YELLOW, GRAY",R;2780;R;2780,PRINTED,False,1,['propranolol hydrochloride 120 mg'],"['gelatin', 'hydroxypropyl cellulose', 'povidone', 'talc', 'titanium dioxide', 'ferric oxide yellow', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'propylene glycol', 'ferrosoferric oxide', 'ethylcelluloses', 'sucrose', 'starch, corn']"
00093-3109-05,308191,Amoxicillin 500 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651209,00093-3109-05_RXNAVIMAGE10_0F2687E4.jpg,593978,168873993,00093-3109-05_NLMIMAGE10_0F2687E4.jpg,449968,CAPSULE,22,BROWN,93;3109;93;3109,PRINTED,False,1,['amoxicillin 500 mg'],"['magnesium stearate', 'ferrosoferric oxide', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'propylene glycol', 'shellac', 'titanium dioxide', 'methylparaben', 'potassium hydroxide', 'propylparaben', 'sodium lauryl sulfate']"
00093-3145-01,309112,Cephalexin 250 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651223,00093-3145-01_RXNAVIMAGE10_14268A54.jpg,658507,168855838,00093-3145-01_NLMIMAGE10_CB1965CB.jpg,492521,CAPSULE,17,"GRAY, RED",93;3145;93;3145,PRINTED,False,1,['cephalexin 250 mg'],"['magnesium stearate', 'silicon dioxide', 'sodium starch glycolate type a potato', 'ferrosoferric oxide', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'carboxymethylcellulose sodium', 'sodium lauryl sulfate', 'titanium dioxide', 'propylene glycol', 'ferric oxide yellow']"
00378-1049-01,1000048,Doxepin Hydrochloride 10 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670591,00378-1049-01_RXNAVIMAGE10_4134A0A5.jpg,589370,168893375,00378-1049-01_NLMIMAGE10_4134A0A5.jpg,439025,CAPSULE,14,WHITE,MYLAN;1049;MYLAN;1049,PRINTED,False,1,['doxepin hydrochloride 10 mg'],"['silicon dioxide', 'magnesium stearate', 'cellulose, microcrystalline', 'starch, corn', 'sodium lauryl sulfate', 'd&c yellow no. 10', 'gelatin', 'titanium dioxide', 'fd&c yellow no. 6', 'ferrosoferric oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'propylene glycol', 'shellac']"
00228-2579-03,830801,24 HR Diltiazem Hydrochloride 300 MG Extended Release Oral Capsule,Actavis Elizabeth LLC,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185671019,00228-2579-03_RXNAVIMAGE10_DF34EFF7.jpg,705510,168893803,00228-2579-03_NLMIMAGE10_DF34EFF7.jpg,533481,CAPSULE,23,"GREEN, GRAY",R;2579;R;2579,PRINTED,False,1,['diltiazem hydrochloride 300 mg'],"['methacrylic acid - methyl methacrylate copolymer (1:1)', 'methacrylic acid - methyl methacrylate copolymer (1:2)', 'ammonia', 'gelatin', 'hydroxypropyl cellulose', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'sucrose', 'starch, corn', 'talc', 'titanium dioxide', 'triethyl citrate', 'd&c yellow no. 10', 'fd&c green no. 3', 'ferrosoferric oxide']"
00378-1610-01,991061,Dicyclomine Hydrochloride 10 MG Oral Capsule,Mylan Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670542,00378-1610-01_RXNAVIMAGE10_2F3497A4.jpg,665510,168893326,00378-1610-01_NLMIMAGE10_2F3497A4.jpg,512255,CAPSULE,14,TURQUOISE,MYLAN;1610:MYLAN;1610,PRINTED,False,1,['dicyclomine hydrochloride 10 mg'],"['anhydrous lactose', 'silicon dioxide', 'd&c yellow no. 10', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'magnesium stearate', 'cellulose, microcrystalline', 'shellac', 'starch, corn', 'propylene glycol', 'sodium lauryl sulfate', 'ferrosoferric oxide', 'titanium dioxide']"
00228-2588-03,830861,24 HR Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule,Actavis Elizabeth LLC,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185671117,00228-2588-03_RXNAVIMAGE10_04350258.jpg,686736,168893901,00228-2588-03_NLMIMAGE10_04350258.jpg,527819,CAPSULE,18,GRAY,R;2588;R;2588,PRINTED,False,1,['diltiazem hydrochloride 120 mg'],"['methacrylic acid - methyl methacrylate copolymer (1:1)', 'methacrylic acid - methyl methacrylate copolymer (1:2)', 'ammonia', 'ferrosoferric oxide', 'gelatin', 'hydroxypropyl cellulose', 'propylene glycol', 'silicon dioxide', 'sodium lauryl sulfate', 'sucrose', 'starch, corn', 'talc', 'titanium dioxide', 'triethyl citrate']"
63304-0693-01,284215,Clindamycin 300 MG Oral Capsule,Ranbaxy Pharmaceuticals Inc.,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651137,63304-0693-01_RXNAVIMAGE10_F7267BB3.jpg,670655,168873921,63304-0693-01_NLMIMAGE10_F7267BB3.jpg,531702,CAPSULE,22,BLUE,RX693;RX693,PRINTED,False,1,['clindamycin hydrochloride 300 mg'],"['lactose monohydrate', 'starch, corn', 'talc', 'magnesium stearate', 'gelatin', 'titanium dioxide', 'fd&c blue no. 1', 'shellac', 'potassium hydroxide', 'propylene glycol', 'ferrosoferric oxide']"
59762-5010-01,284215,Clindamycin 300 MG Oral Capsule,Greenstone LLC,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670654,59762-5010-01_RXNAVIMAGE10_5834AC15.jpg,677019,168893438,59762-5010-01_NLMIMAGE10_5834AC15.jpg,530443,CAPSULE,22,TURQUOISE,G;300;mg;5010,PRINTED,False,1,['clindamycin hydrochloride 300 mg'],"['starch, corn', 'fd&c blue no. 1', 'gelatin', 'lactose', 'magnesium stearate', 'talc', 'titanium dioxide']"
00093-5256-68,284215,Clindamycin 300 MG Oral Capsule,Teva Pharmaceuticals USA Inc,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185651225,00093-5256-68_RXNAVIMAGE10_15268A84.jpg,702373,168875682,00093-5256-68_NLMIMAGE10_8727C3AE.jpg,521870,CAPSULE,22,BLUE,93;5256;93;5256,PRINTED,False,1,['clindamycin hydrochloride 300 mg'],"['starch, corn', 'lactose monohydrate', 'magnesium stearate', 'ferrosoferric oxide', 'd&c yellow no. 10', 'aluminum oxide', 'fd&c blue no. 1', 'fd&c blue no. 2', 'fd&c red no. 40', 'gelatin', 'propylene glycol', 'shellac', 'titanium dioxide']"
00143-3126-01,991061,Dicyclomine Hydrochloride 10 MG Oral Capsule,West-ward Pharmaceutical Corp,12-02-2009,National Library of Medicine | Lister Hill National Center for Biomedical Communications | Office of High Performance Computing and Communications | Medicos Consultants LLC,True,185670889,00143-3126-01_RXNAVIMAGE10_AF34D7F6.jpg,705326,168893673,00143-3126-01_NLMIMAGE10_AF34D7F6.jpg,562839,CAPSULE,14,BLUE,West-ward;3126,PRINTED,False,1,['dicyclomine hydrochloride 10 mg'],"['corn starch', 'fd&c blue no. 1', 'fd&c red no. 4', 'gelatin', 'lactose monohydrate', 'magnesium stearate', 'microcrystalline cellulose', 'titanium dioxide']"
